year,income_bracket,education,count
2016,"$300-$399 ($15,600-$20,799)",Secondary Education - Years 10 and above,234662
2016,"$400-$499 ($20,800-$25,999)",Secondary Education - Years 10 and above,219352
2016,"$500-$649 ($26,000-$33,799)",Secondary Education - Years 10 and above,207717
2016,"$650-$799 ($33,800-$41,599)",Secondary Education - Years 10 and above,233383
2016,"$800-$999 ($41,600-$51,999)",Secondary Education - Years 10 and above,267445
2016,"$1,000-$1,249 ($52,000-$64,999)",Secondary Education - Years 10 and above,246067
2016,"$1,250-$1,499 ($65,000-$77,999)",Secondary Education - Years 10 and above,149538
2016,"$1,500-$1,749 ($78,000-$90,999)",Secondary Education - Years 10 and above,111511
2016,"$1,750-$1,999 ($91,000-$103,999)",Secondary Education - Years 10 and above,71287
2016,"$2,000-$2,999 ($104,000-$155,999)",Secondary Education - Years 10 and above,99547
2016,"$3,000 Or More ($156,000 Or More)",Secondary Education - Years 10 and above,53291
2016,Not Stated,Secondary Education - Years 10 and above,68391
2016,Negative Income,Certificate I & II Level,34
2016,Nil Income,Certificate I & II Level,433
2016,"$1-$149 ($1-$7,799)",Certificate I & II Level,273
2016,"$150-$299 ($7,800-$15,599)",Certificate I & II Level,1003
2016,"$300-$399 ($15,600-$20,799)",Certificate I & II Level,718
2016,"$400-$499 ($20,800-$25,999)",Certificate I & II Level,645
2016,"$500-$649 ($26,000-$33,799)",Certificate I & II Level,563
2016,"$650-$799 ($33,800-$41,599)",Certificate I & II Level,611
2016,"$800-$999 ($41,600-$51,999)",Certificate I & II Level,668
2016,"$1,000-$1,249 ($52,000-$64,999)",Certificate I & II Level,441
2016,"$1,250-$1,499 ($65,000-$77,999)",Certificate I & II Level,270
2016,"$1,500-$1,749 ($78,000-$90,999)",Certificate I & II Level,134
2016,"$1,750-$1,999 ($91,000-$103,999)",Certificate I & II Level,107
2016,"$2,000-$2,999 ($104,000-$155,999)",Certificate I & II Level,102
2016,"$3,000 Or More ($156,000 Or More)",Certificate I & II Level,47
2016,Not Stated,Certificate I & II Level,122
2016,Negative Income,Secondary Education - Years 9 and below,5890
2016,Nil Income,Secondary Education - Years 9 and below,121001
2016,"$1-$149 ($1-$7,799)",Secondary Education - Years 9 and below,41278
2016,"$150-$299 ($7,800-$15,599)",Secondary Education - Years 9 and below,75552
2016,"$300-$399 ($15,600-$20,799)",Secondary Education - Years 9 and below,126952
2016,"$400-$499 ($20,800-$25,999)",Secondary Education - Years 9 and below,88442
2016,"$500-$649 ($26,000-$33,799)",Secondary Education - Years 9 and below,49191
2016,"$650-$799 ($33,800-$41,599)",Secondary Education - Years 9 and below,43724
2016,"$800-$999 ($41,600-$51,999)",Secondary Education - Years 9 and below,41179
2016,"$1,000-$1,249 ($52,000-$64,999)",Secondary Education - Years 9 and below,34007
2016,"$1,250-$1,499 ($65,000-$77,999)",Secondary Education - Years 9 and below,17295
2016,"$1,500-$1,749 ($78,000-$90,999)",Secondary Education - Years 9 and below,11165
2016,"$1,750-$1,999 ($91,000-$103,999)",Secondary Education - Years 9 and below,6684
2016,"$2,000-$2,999 ($104,000-$155,999)",Secondary Education - Years 9 and below,7545
2016,"$3,000 Or More ($156,000 Or More)",Secondary Education - Years 9 and below,5065
2016,Not Stated,Secondary Education - Years 9 and below,27395
2016,Negative Income,Supplementary Codes,2877
2016,Nil Income,Supplementary Codes,18195
2016,"$1-$149 ($1-$7,799)",Supplementary Codes,7301
2016,"$150-$299 ($7,800-$15,599)",Supplementary Codes,22816
2016,"$300-$399 ($15,600-$20,799)",Supplementary Codes,28805
2016,"$400-$499 ($20,800-$25,999)",Supplementary Codes,23828
2016,"$500-$649 ($26,000-$33,799)",Supplementary Codes,20477
2016,"$650-$799 ($33,800-$41,599)",Supplementary Codes,22162
2016,"$800-$999 ($41,600-$51,999)",Supplementary Codes,25524
2016,"$1,000-$1,249 ($52,000-$64,999)",Supplementary Codes,25507
2016,"$1,250-$1,499 ($65,000-$77,999)",Supplementary Codes,16581
2016,"$1,500-$1,749 ($78,000-$90,999)",Supplementary Codes,13732
2016,"$1,750-$1,999 ($91,000-$103,999)",Supplementary Codes,9631
2016,"$2,000-$2,999 ($104,000-$155,999)",Supplementary Codes,14932
2016,"$3,000 Or More ($156,000 Or More)",Supplementary Codes,9650
2016,Not Stated,Supplementary Codes,6958
2016,Negative Income,Not stated,3545
2016,Nil Income,Not stated,25622
2016,"$1-$149 ($1-$7,799)",Not stated,10527
