income_bracket,education,count
"$500-$649 ($26,000-$33,799)",Secondary Education - Years 10 and above,229423
"$650-$799 ($33,800-$41,599)",Secondary Education - Years 10 and above,224281
"$800-$999 ($41,600-$51,999)",Secondary Education - Years 10 and above,285642
"$1,000-$1,249 ($52,000-$64,999)",Secondary Education - Years 10 and above,291387
"$1,250-$1,499 ($65,000-$77,999)",Secondary Education - Years 10 and above,186201
"$1,500-$1,749 ($78,000-$90,999)",Secondary Education - Years 10 and above,143271
"$1,750-$1,999 ($91,000-$103,999)",Secondary Education - Years 10 and above,94670
"$2,000-$2,999 ($104,000-$155,999)",Secondary Education - Years 10 and above,137012
"$3,000-$3,499 ($156,000-$181,999)",Secondary Education - Years 10 and above,29872
"$3,500 Or More ($182,000 Or More)",Secondary Education - Years 10 and above,47760
Not Stated,Secondary Education - Years 10 and above,72389
Negative Income,Certificate I & II Level,49
Nil Income,Certificate I & II Level,467
"$1-$149 ($1-$7,799)",Certificate I & II Level,265
"$150-$299 ($7,800-$15,599)",Certificate I & II Level,582
"$300-$399 ($15,600-$20,799)",Certificate I & II Level,929
"$400-$499 ($20,800-$25,999)",Certificate I & II Level,656
"$500-$649 ($26,000-$33,799)",Certificate I & II Level,595
"$650-$799 ($33,800-$41,599)",Certificate I & II Level,474
"$800-$999 ($41,600-$51,999)",Certificate I & II Level,634
"$1,000-$1,249 ($52,000-$64,999)",Certificate I & II Level,635
"$1,250-$1,499 ($65,000-$77,999)",Certificate I & II Level,356
"$1,500-$1,749 ($78,000-$90,999)",Certificate I & II Level,202
"$1,750-$1,999 ($91,000-$103,999)",Certificate I & II Level,127
"$2,000-$2,999 ($104,000-$155,999)",Certificate I & II Level,152
"$3,000-$3,499 ($156,000-$181,999)",Certificate I & II Level,23
"$3,500 Or More ($182,000 Or More)",Certificate I & II Level,33
Not Stated,Certificate I & II Level,68
Negative Income,Secondary Education - Years 9 and below,11481
Nil Income,Secondary Education - Years 9 and below,140439
"$1-$149 ($1-$7,799)",Secondary Education - Years 9 and below,47175
"$150-$299 ($7,800-$15,599)",Secondary Education - Years 9 and below,49706
"$300-$399 ($15,600-$20,799)",Secondary Education - Years 9 and below,114678
"$400-$499 ($20,800-$25,999)",Secondary Education - Years 9 and below,91143
"$500-$649 ($26,000-$33,799)",Secondary Education - Years 9 and below,52266
"$650-$799 ($33,800-$41,599)",Secondary Education - Years 9 and below,39064
"$800-$999 ($41,600-$51,999)",Secondary Education - Years 9 and below,39664
"$1,000-$1,249 ($52,000-$64,999)",Secondary Education - Years 9 and below,36677
"$1,250-$1,499 ($65,000-$77,999)",Secondary Education - Years 9 and below,20514
"$1,500-$1,749 ($78,000-$90,999)",Secondary Education - Years 9 and below,14900
"$1,750-$1,999 ($91,000-$103,999)",Secondary Education - Years 9 and below,8779
"$2,000-$2,999 ($104,000-$155,999)",Secondary Education - Years 9 and below,10134
"$3,000-$3,499 ($156,000-$181,999)",Secondary Education - Years 9 and below,2301
"$3,500 Or More ($182,000 Or More)",Secondary Education - Years 9 and below,4465
Not Stated,Secondary Education - Years 9 and below,21715
Negative Income,Supplementary Codes,4270
