year,weighted_count,mean,std,min,q1,median,q3,max
2016,7900710.0,1053.56,873.74,-75.0,349.5,899.5,1624.5,3250.0
2021,8887890.0,1208.03,943.04,-75.0,449.5,1124.5,1624.5,3250.0
