year,education,harmonised_income_bracket,count,share_pct
2016,Bachelor Degree Level,Nil Income,53461,4.32
2016,Bachelor Degree Level,"$1-$149 ($1-$7,799)",19493,1.58
2016,Bachelor Degree Level,"$150-$299 ($7,800-$15,599)",41463,3.35
2016,Bachelor Degree Level,"$300-$399 ($15,600-$20,799)",45895,3.71
2016,Bachelor Degree Level,"$400-$499 ($20,800-$25,999)",46972,3.8
2016,Bachelor Degree Level,"$500-$649 ($26,000-$33,799)",56585,4.58
2016,Bachelor Degree Level,"$650-$799 ($33,800-$41,599)",65206,5.27
2016,Bachelor Degree Level,"$800-$999 ($41,600-$51,999)",93098,7.53
2016,Bachelor Degree Level,"$1,000-$1,249 ($52,000-$64,999)",125560,10.15
2016,Bachelor Degree Level,"$1,250-$1,499 ($65,000-$77,999)",110123,8.9
2016,Bachelor Degree Level,"$1,500-$1,749 ($78,000-$90,999)",118044,9.55
2016,Bachelor Degree Level,"$1,750-$1,999 ($91,000-$103,999)",100026,8.09
2016,Bachelor Degree Level,"$2,000-$2,999 ($104,000-$155,999)",192258,15.55
2016,Bachelor Degree Level,"$3,000 Or More ($156,000 Or More)",164427,13.3
2016,Graduate Diploma and Graduate Certificate Level,Negative Income,383,0.29
2016,Graduate Diploma and Graduate Certificate Level,Nil Income,2998,2.24
2016,Graduate Diploma and Graduate Certificate Level,"$1-$149 ($1-$7,799)",1580,1.18
2016,Graduate Diploma and Graduate Certificate Level,"$150-$299 ($7,800-$15,599)",3304,2.47
2016,Graduate Diploma and Graduate Certificate Level,"$300-$399 ($15,600-$20,799)",3920,2.93
2016,Graduate Diploma and Graduate Certificate Level,"$400-$499 ($20,800-$25,999)",4251,3.18
2016,Graduate Diploma and Graduate Certificate Level,"$500-$649 ($26,000-$33,799)",5482,4.1
2016,Graduate Diploma and Graduate Certificate Level,"$650-$799 ($33,800-$41,599)",5955,4.45
2016,Graduate Diploma and Graduate Certificate Level,"$800-$999 ($41,600-$51,999)",7983,5.97
2016,Graduate Diploma and Graduate Certificate Level,"$1,000-$1,249 ($52,000-$64,999)",11685,8.74
2016,Graduate Diploma and Graduate Certificate Level,"$1,250-$1,499 ($65,000-$77,999)",11983,8.96
2016,Graduate Diploma and Graduate Certificate Level,"$1,500-$1,749 ($78,000-$90,999)",14532,10.87
2016,Graduate Diploma and Graduate Certificate Level,"$1,750-$1,999 ($91,000-$103,999)",13853,10.36
2016,Graduate Diploma and Graduate Certificate Level,"$2,000-$2,999 ($104,000-$155,999)",26834,20.07
2016,Graduate Diploma and Graduate Certificate Level,"$3,000 Or More ($156,000 Or More)",18961,14.18
2016,Postgraduate Degree Level,Negative Income,1503,0.33
2016,Postgraduate Degree Level,Nil Income,16045,3.49
2016,Postgraduate Degree Level,"$1-$149 ($1-$7,799)",5306,1.15
2016,Postgraduate Degree Level,"$150-$299 ($7,800-$15,599)",10087,2.19
2016,Postgraduate Degree Level,"$300-$399 ($15,600-$20,799)",11968,2.6
2016,Postgraduate Degree Level,"$400-$499 ($20,800-$25,999)",14072,3.06
2016,Postgraduate Degree Level,"$500-$649 ($26,000-$33,799)",19697,4.28
2016,Postgraduate Degree Level,"$650-$799 ($33,800-$41,599)",21139,4.6
2016,Postgraduate Degree Level,"$800-$999 ($41,600-$51,999)",28701,6.24
2016,Postgraduate Degree Level,"$1,000-$1,249 ($52,000-$64,999)",39310,8.55
2016,Postgraduate Degree Level,"$1,250-$1,499 ($65,000-$77,999)",35769,7.78
2016,Postgraduate Degree Level,"$1,500-$1,749 ($78,000-$90,999)",40677,8.85
2016,Postgraduate Degree Level,"$1,750-$1,999 ($91,000-$103,999)",37771,8.21
2016,Postgraduate Degree Level,"$2,000-$2,999 ($104,000-$155,999)",88598,19.27
2016,Postgraduate Degree Level,"$3,000 Or More ($156,000 Or More)",89150,19.39
2021,Secondary Education - Years 9 and below,Negative Income,11481,1.68
2021,Secondary Education - Years 9 and below,Nil Income,140439,20.55
2021,Secondary Education - Years 9 and below,"$1-$149 ($1-$7,799)",47175,6.9
2021,Secondary Education - Years 9 and below,"$150-$299 ($7,800-$15,599)",49706,7.27
2021,Secondary Education - Years 9 and below,"$300-$399 ($15,600-$20,799)",114678,16.78
2021,Secondary Education - Years 9 and below,"$400-$499 ($20,800-$25,999)",91143,13.34
2021,Secondary Education - Years 9 and below,"$500-$649 ($26,000-$33,799)",52266,7.65
2021,Secondary Education - Years 9 and below,"$650-$799 ($33,800-$41,599)",39064,5.72
2021,Secondary Education - Years 9 and below,"$800-$999 ($41,600-$51,999)",39664,5.8
2021,Secondary Education - Years 9 and below,"$1,000-$1,249 ($52,000-$64,999)",36677,5.37
2021,Secondary Education - Years 9 and below,"$1,250-$1,499 ($65,000-$77,999)",20514,3.0
2021,Secondary Education - Years 9 and below,"$1,500-$1,749 ($78,000-$90,999)",14900,2.18
2021,Secondary Education - Years 9 and below,"$1,750-$1,999 ($91,000-$103,999)",8779,1.28
2021,Secondary Education - Years 9 and below,"$2,000-$2,999 ($104,000-$155,999)",10134,1.48
2021,Secondary Education - Years 9 and below,"$3,000 Or More ($156,000 Or More)",6766,0.99
2021,Secondary Education - Years 10 and above,Negative Income,28816,1.0
2021,Secondary Education - Years 10 and above,Nil Income,336717,11.74
2021,Secondary Education - Years 10 and above,"$1-$149 ($1-$7,799)",144348,5.03
2021,Secondary Education - Years 10 and above,"$150-$299 ($7,800-$15,599)",200550,6.99
2021,Secondary Education - Years 10 and above,"$300-$399 ($15,600-$20,799)",258743,9.02
2021,Secondary Education - Years 10 and above,"$400-$499 ($20,800-$25,999)",230644,8.04
2021,Secondary Education - Years 10 and above,"$500-$649 ($26,000-$33,799)",229423,8.0
2021,Secondary Education - Years 10 and above,"$650-$799 ($33,800-$41,599)",224281,7.82
2021,Secondary Education - Years 10 and above,"$800-$999 ($41,600-$51,999)",285642,9.95
2021,Secondary Education - Years 10 and above,"$1,000-$1,249 ($52,000-$64,999)",291387,10.16
2021,Secondary Education - Years 10 and above,"$1,250-$1,499 ($65,000-$77,999)",186201,6.49
2021,Secondary Education - Years 10 and above,"$1,500-$1,749 ($78,000-$90,999)",143271,4.99
2021,Secondary Education - Years 10 and above,"$1,750-$1,999 ($91,000-$103,999)",94670,3.3
2021,Secondary Education - Years 10 and above,"$2,000-$2,999 ($104,000-$155,999)",137012,4.78
2021,Secondary Education - Years 10 and above,"$3,000 Or More ($156,000 Or More)",77632,2.71
2021,Certificate I & II Level,Negative Income,49,0.79
2021,Certificate I & II Level,Nil Income,467,7.56
2021,Certificate I & II Level,"$1-$149 ($1-$7,799)",265,4.29
2021,Certificate I & II Level,"$150-$299 ($7,800-$15,599)",582,9.42
2021,Certificate I & II Level,"$300-$399 ($15,600-$20,799)",929,15.03
2021,Certificate I & II Level,"$400-$499 ($20,800-$25,999)",656,10.62
2021,Certificate I & II Level,"$500-$649 ($26,000-$33,799)",595,9.63
2021,Certificate I & II Level,"$650-$799 ($33,800-$41,599)",474,7.67
2021,Certificate I & II Level,"$800-$999 ($41,600-$51,999)",634,10.26
2021,Certificate I & II Level,"$1,000-$1,249 ($52,000-$64,999)",635,10.28
2021,Certificate I & II Level,"$1,250-$1,499 ($65,000-$77,999)",356,5.76
2021,Certificate I & II Level,"$1,500-$1,749 ($78,000-$90,999)",202,3.27
2021,Certificate I & II Level,"$1,750-$1,999 ($91,000-$103,999)",127,2.06
2021,Certificate I & II Level,"$2,000-$2,999 ($104,000-$155,999)",152,2.46
2021,Certificate I & II Level,"$3,000 Or More ($156,000 Or More)",56,0.91
2021,Certificate III & IV Level,Negative Income,10370,0.49
2021,Certificate III & IV Level,Nil Income,69345,3.25
2021,Certificate III & IV Level,"$1-$149 ($1-$7,799)",28206,1.32
2021,Certificate III & IV Level,"$150-$299 ($7,800-$15,599)",70113,3.29
2021,Certificate III & IV Level,"$300-$399 ($15,600-$20,799)",152033,7.13
2021,Certificate III & IV Level,"$400-$499 ($20,800-$25,999)",124299,5.83
2021,Certificate III & IV Level,"$500-$649 ($26,000-$33,799)",122793,5.76
2021,Certificate III & IV Level,"$650-$799 ($33,800-$41,599)",135620,6.36
2021,Certificate III & IV Level,"$800-$999 ($41,600-$51,999)",205769,9.65
2021,Certificate III & IV Level,"$1,000-$1,249 ($52,000-$64,999)",291996,13.69
2021,Certificate III & IV Level,"$1,250-$1,499 ($65,000-$77,999)",236452,11.09
2021,Certificate III & IV Level,"$1,500-$1,749 ($78,000-$90,999)",208266,9.77
2021,Certificate III & IV Level,"$1,750-$1,999 ($91,000-$103,999)",148551,6.97
2021,Certificate III & IV Level,"$2,000-$2,999 ($104,000-$155,999)",229788,10.77
2021,Certificate III & IV Level,"$3,000 Or More ($156,000 Or More)",99010,4.64
2021,Advanced Diploma and Diploma Level,Negative Income,2888,0.35
2021,Advanced Diploma and Diploma Level,Nil Income,29392,3.59
2021,Advanced Diploma and Diploma Level,"$1-$149 ($1-$7,799)",10585,1.29
2021,Advanced Diploma and Diploma Level,"$150-$299 ($7,800-$15,599)",23159,2.83
2021,Advanced Diploma and Diploma Level,"$300-$399 ($15,600-$20,799)",41878,5.12
2021,Advanced Diploma and Diploma Level,"$400-$499 ($20,800-$25,999)",39313,4.81
2021,Advanced Diploma and Diploma Level,"$500-$649 ($26,000-$33,799)",47513,5.81
2021,Advanced Diploma and Diploma Level,"$650-$799 ($33,800-$41,599)",51405,6.28
2021,Advanced Diploma and Diploma Level,"$800-$999 ($41,600-$51,999)",71853,8.78
2021,Advanced Diploma and Diploma Level,"$1,000-$1,249 ($52,000-$64,999)",95658,11.69
2021,Advanced Diploma and Diploma Level,"$1,250-$1,499 ($65,000-$77,999)",76817,9.39
2021,Advanced Diploma and Diploma Level,"$1,500-$1,749 ($78,000-$90,999)",73634,9.0
2021,Advanced Diploma and Diploma Level,"$1,750-$1,999 ($91,000-$103,999)",60481,7.39
2021,Advanced Diploma and Diploma Level,"$2,000-$2,999 ($104,000-$155,999)",121356,14.84
2021,Advanced Diploma and Diploma Level,"$3,000 Or More ($156,000 Or More)",72028,8.81
2021,Bachelor Degree Level,Negative Income,3749,0.24
2021,Bachelor Degree Level,Nil Income,52096,3.36
2021,Bachelor Degree Level,"$1-$149 ($1-$7,799)",17408,1.12
2021,Bachelor Degree Level,"$150-$299 ($7,800-$15,599)",31916,2.06
2021,Bachelor Degree Level,"$300-$399 ($15,600-$20,799)",52160,3.36
2021,Bachelor Degree Level,"$400-$499 ($20,800-$25,999)",48026,3.09
2021,Bachelor Degree Level,"$500-$649 ($26,000-$33,799)",64665,4.17
2021,Bachelor Degree Level,"$650-$799 ($33,800-$41,599)",71171,4.59
2021,Bachelor Degree Level,"$800-$999 ($41,600-$51,999)",101773,6.56
