,Main,No controls,Drop top bracket,IHS outcome,Log outcome,2021 only,2016 only,HC0 SE,Unweighted OLS,Exclude negative income
N,16788600,16788600,15644471,16788600,15389823,8887890,7900710,16788600,16788600,16687582
education_rank coef,195.87548828016577,197.1667317779607,145.7410824797971,0.1786189377317,0.14962609378260705,202.64126209651545,187.7654128524913,195.87548828016577,205.15681281326738,195.25090045831573
education_rank se,7.381543264157365,10.727016062414911,9.01347447129776,0.013652674128464673,0.009782489948267645,12.113650490097564,7.972687984812549,8.720782382051425,13.11341831840908,7.317573979817659
education_rank p,1.0452654111989093e-12,3.367571024843884e-11,5.450169719505911e-10,7.363818432787564e-09,1.0851482375176195e-09,2.9133682756426377e-06,3.845661914968424e-07,8.743713907044563e-12,8.204825195169101e-10,9.741843080709473e-13
year_2021 coef,120.75210291883351,,84.74261746034588,0.1053929573018414,0.10329841985555835,,,120.75210291883351,114.91387454921774,122.5850906293087
year_2021 se,29.61918558236324,,35.225543147910734,0.054782729604807956,0.03904898629885644,,,24.916780151673354,60.09323206373018,29.361072332253666
notes,WLS on weighted mean income with year control.,Test the association without the year control.,Exclude the top open-ended income bracket.,Use inverse-hyperbolic-sine transformation of income.,Use natural log transformation of income (excluding zero/negative).,Check the association inside the 2021 sample only.,Check the association inside the 2016 sample only.,Same model with heteroskedasticity-robust standard errors.,Use OLS without weighting by sample size.,Exclude observations with negative income.
